Wall time,Step,Value
1746332708.6891148,2041,22690.0
1746332718.5723627,2044,20730.0
1746332719.1741261,2045,4156.0
1746332719.3911808,2048,35.0
1746332719.5596175,2051,31.0
1746332719.9932797,2059,31.0
1746332720.055856,2060,33.0
1746332720.1826487,2062,32.0
1746332720.4429595,2067,26.0
1746332720.7521763,2072,32.0
1746332720.807875,2073,37.0
1746332720.8731232,2074,35.0
1746332720.9789283,2076,35.0
1746332721.040854,2077,46.0
1746332721.1918902,2079,206.0
1746332723.2868884,2081,6314.0
1746332725.4928753,2084,302.0
1746332725.5445058,2085,34.0
1746332725.7408445,2089,33.0
1746332725.993817,2094,32.0
1746332726.098805,2096,35.0
1746332726.4373918,2102,134.0
1746332726.4925363,2103,62.0
1746332726.611475,2104,311.0
1746332726.7368793,2105,392.0
1746332726.8516817,2106,297.0
1746332727.222738,2109,381.0
1746332727.4415255,2111,271.0
1746332727.785643,2114,339.0
1746332727.8526318,2115,46.0
1746332728.0336027,2118,46.0
1746332728.160255,2120,62.0
1746332728.4033751,2122,317.0
1746332728.5553007,2123,548.0
1746332728.7283924,2124,669.0
1746332730.0653782,2128,2044.0
1746332731.6771107,2132,1183.0
1746332732.4416394,2133,3176.0
1746332732.7031558,2134,1285.0
1746332735.0317385,2138,4455.0
1746332735.5811608,2139,2573.0
1746332738.267113,2141,4575.0
1746332738.692575,2142,1627.0
1746332739.2590306,2144,443.0
1746332739.447078,2145,618.0
1746332739.5899632,2146,410.0
1746332739.9495282,2148,391.0
1746332740.20807,2149,916.0
1746332740.903583,2151,1601.0
1746332742.8260248,2154,4815.0
1746332744.0887682,2156,1064.0
1746332744.4791121,2157,1146.0
1746332750.2018235,2163,8604.0
1746332750.5283272,2164,1375.0
1746332751.1378775,2165,2890.0
1746332754.6402,2169,5330.0
1746332755.4558866,2171,2737.0
1746332757.9796638,2173,8333.0
1746332761.088842,2177,5636.0
1746332777.6203306,2184,16775.0
1746332788.4897788,2187,23190.0
1746332792.0819597,2189,544.0
1746332792.2046158,2191,32.0
1746332792.271019,2192,35.0
1746332792.459733,2196,29.0
1746332792.5506723,2198,27.0
1746332792.5997968,2199,38.0
1746332792.6353874,2200,22.0
1746332792.7617133,2203,20.0
1746332792.804582,2204,29.0
1746332792.9263191,2207,31.0
1746332792.9574006,2208,19.0
1746332793.0808032,2211,17.0
1746332793.1820202,2214,18.0
1746332793.4054074,2218,71.0
1746332807.5923326,2224,29590.0
1746332812.4413247,2225,27380.0
1746332817.5689495,2228,109.0
1746332817.6535335,2229,30.0
1746332817.8081305,2231,30.0
1746332817.9783797,2233,34.0
1746332818.0583515,2234,34.0
1746332818.2097397,2236,32.0
1746332818.2761173,2237,29.0
1746332818.4326813,2239,33.0
1746332818.5018003,2240,27.0
1746332818.5769413,2241,36.0
1746332818.6494215,2242,44.0
1746332818.8149116,2244,34.0
1746332818.9751763,2246,45.0
1746332819.042765,2247,42.0
1746332819.356638,2251,32.0
1746332819.4210157,2252,27.0
1746332819.5652301,2254,31.0
1746332819.788453,2257,43.0
1746332820.9337404,2259,3354.0
1746332823.110952,2262,1865.0
1746332843.6383972,2274,2209.0
1746332845.3929336,2278,106.0
1746332845.704764,2281,29.0
1746332846.0813608,2286,29.0
1746332846.2673063,2288,98.0
1746332846.497029,2291,28.0
1746332846.9176967,2297,34.0
1746332847.0312188,2298,130.0
1746332853.0831482,2300,29180.0
1746332866.167413,2303,22770.0
1746332882.5641186,2306,21280.0
1746332888.5736578,2307,22530.0
1746332894.5135887,2308,23640.0
1746332916.9899466,2317,41.0
1746332917.0669348,2318,29.0
1746332917.1423547,2319,42.0
1746332917.2151673,2320,30.0
1746332917.3729808,2322,28.0
1746332917.5160422,2324,29.0
